"mixture","Replication","Dilution","Response","celltype","phenotype"
"AC50-H","5",0.01,0.0169128985723524,"iCell Neurons","ATP"
"POD-H","5",0.01,0.110182559816943,"iCell Neurons","ATP"
"AC50-L","6",0.01,1.02820474556036,"iCell Neurons","ATP"
"POD-L","6",0.01,1.08938964333682,"iCell Neurons","ATP"
"RFD-H","6",0.01,1.06526389096155,"iCell Neurons","ATP"
"RFD-L","6",0.01,0.993881510222355,"iCell Neurons","ATP"
"Expo-H","6",0.01,0.983435308162961,"iCell Neurons","ATP"
"Expo-L","6",0.01,1.31970352683679,"iCell Neurons","ATP"
"AC50-H","6",0.01,0.0154205839924389,"iCell Neurons","ATP"
"POD-H","6",0.01,0.0457643137840123,"iCell Neurons","ATP"
"AC50-L","1",0.1,0.904384829673825,"iCell Neurons","ATP"
"POD-L","1",0.1,1.03709228103271,"iCell Neurons","ATP"
"RFD-H","1",0.1,0.920397464300599,"iCell Neurons","ATP"
"RFD-L","1",0.1,1.04586632740354,"iCell Neurons","ATP"
"Expo-H","1",0.1,0.941455175590603,"iCell Neurons","ATP"
"Expo-L","1",0.1,1.01252495119437,"iCell Neurons","ATP"
"AC50-H","1",0.1,0.0094320998486477,"iCell Neurons","ATP"
"POD-H","1",0.1,0.0201803066529207,"iCell Neurons","ATP"
"AC50-L","2",0.1,0.834850512184957,"iCell Neurons","ATP"
"POD-L","2",0.1,0.906578341266534,"iCell Neurons","ATP"
"RFD-H","2",0.1,0.797560815108908,"iCell Neurons","ATP"
"RFD-L","2",0.1,0.799534975542346,"iCell Neurons","ATP"
"Expo-H","2",0.1,0.892101164754656,"iCell Neurons","ATP"
"Expo-L","2",0.1,0.84823093290048,"iCell Neurons","ATP"
"AC50-H","2",0.1,0.0105288556450021,"iCell Neurons","ATP"
"POD-H","2",0.1,0.0109675579635438,"iCell Neurons","ATP"
"AC50-L","3",0.1,1.0228344556801,"iCell Neurons","ATP"
"POD-L","3",0.1,0.508017284871351,"iCell Neurons","ATP"
"RFD-H","3",0.1,0.97567395643686,"iCell Neurons","ATP"
"RFD-L","3",0.1,0.797780166268179,"iCell Neurons","ATP"
"Expo-H","3",0.1,1.00572506525697,"iCell Neurons","ATP"
"Expo-L","3",0.1,1.14654850950887,"iCell Neurons","ATP"
"AC50-H","3",0.1,0.0118449626006273,"iCell Neurons","ATP"
"POD-H","3",0.1,0.0122836649191691,"iCell Neurons","ATP"
"AC50-L","4",0.1,1.10679998010247,"iCell Neurons","ATP"
"POD-L","4",0.1,0.989155847385962,"iCell Neurons","ATP"
"RFD-H","4",0.1,1.21573894443615,"iCell Neurons","ATP"
"RFD-L","4",0.1,1.06675620554146,"iCell Neurons","ATP"
"Expo-H","4",0.1,1.03616375665324,"iCell Neurons","ATP"
"Expo-L","4",0.1,1.0602895090285,"iCell Neurons","ATP"
"AC50-H","4",0.1,0.0139282694125255,"iCell Neurons","ATP"
"POD-H","4",0.1,0.0228821568920062,"iCell Neurons","ATP"
"AC50-L","5",0.1,0.802367805800129,"iCell Neurons","ATP"
"POD-L","5",0.1,0.740934188927026,"iCell Neurons","ATP"
"RFD-H","5",0.1,0.764562503108989,"iCell Neurons","ATP"
"RFD-L","5",0.1,0.903099039944287,"iCell Neurons","ATP"
"Expo-H","5",0.1,1.01203800427797,"iCell Neurons","ATP"
"Expo-L","5",0.1,0.808088345023131,"iCell Neurons","ATP"
"AC50-H","5",0.1,0.0174103367656569,"iCell Neurons","ATP"
"POD-H","5",0.1,0.019648808635527,"iCell Neurons","ATP"
"AC50-L","6",0.1,1.13391036163757,"iCell Neurons","ATP"
"POD-L","6",0.1,0.925732477739641,"iCell Neurons","ATP"
"RFD-H","6",0.1,1.05183305974233,"iCell Neurons","ATP"
"RFD-L","6",0.1,1.05680744167537,"iCell Neurons","ATP"
"Expo-H","6",0.1,0.884693826792021,"iCell Neurons","ATP"
"Expo-L","6",0.1,0.98890712828931,"iCell Neurons","ATP"
"AC50-H","6",0.1,0.0261155051484853,"iCell Neurons","ATP"
"POD-H","6",0.1,0.0184052131522658,"iCell Neurons","ATP"
"AC50-L","1",1,0.755226041369629,"iCell Neurons","ATP"
"POD-L","1",1,0.0122836649191691,"iCell Neurons","ATP"
"RFD-H","1",1,0.653447103467942,"iCell Neurons","ATP"
"RFD-L","1",1,0.752813178617649,"iCell Neurons","ATP"
"Expo-H","1",1,0.857004979271316,"iCell Neurons","ATP"
"Expo-L","1",1,0.70543332821514,"iCell Neurons","ATP"
"AC50-H","1",1,0.0127223672377109,"iCell Neurons","ATP"
"POD-H","1",1,0.0146965276711487,"iCell Neurons","ATP"
"AC50-L","2",1,1.03424071596218,"iCell Neurons","ATP"
"POD-L","2",1,0.0210577112900042,"iCell Neurons","ATP"
"RFD-H","2",1,0.551887516725526,"iCell Neurons","ATP"
"RFD-L","2",1,0.539165149487815,"iCell Neurons","ATP"
"Expo-H","2",1,0.926977999078725,"iCell Neurons","ATP"
"Expo-L","2",1,0.651253591875233,"iCell Neurons","ATP"
"AC50-H","2",1,0.0282962995459431,"iCell Neurons","ATP"
"POD-H","2",1,0.0135997718747944,"iCell Neurons","ATP"
"AC50-L","3",1,0.844721314352146,"iCell Neurons","ATP"
"POD-L","3",1,0.0129417183969817,"iCell Neurons","ATP"
"RFD-H","3",1,0.238215358968172,"iCell Neurons","ATP"
"RFD-L","3",1,0.452082739257277,"iCell Neurons","ATP"
"Expo-H","3",1,0.477308122573428,"iCell Neurons","ATP"
"Expo-L","3",1,0.677356379828467,"iCell Neurons","ATP"
"AC50-H","3",1,0.0153545811489614,"iCell Neurons","ATP"
"POD-H","3",1,0.019522253175108,"iCell Neurons","ATP"
"AC50-L","4",1,0.844898771327663,"iCell Neurons","ATP"
"POD-L","4",1,0.0198975277321793,"iCell Neurons","ATP"
